Soil,Seed,Fertilizer,Sunny_Days,Rainfall_mm,Irrigation,Yield
96.4156574,1,147.8530402,94.59392594,444.2675689,3,683.7591188
92.35262586,0,281.5653961,90.5046436,517.5854912,7,678.7148606
63.71478519,1,137.8649399,97.32934017,420.3109448,8,934.6919749
90.08425562,1,100.946659,113.4048284,547.8176464,7,905.8425407
81.60034064,1,223.0889078,83.04817645,434.7263326,6,897.5846654
65.39434273,1,104.4848886,95.92214022,462.036153,4,634.9782126
71.03541188,1,78.52308907,80.59134952,536.4573535,3,593.545375
69.33588645,1,135.9227695,119.8270042,384.3503804,2,750.3530325
86.42475795,1,165.7041495,98.06989877,553.2765852,5,803.0086545
60.88413908,0,88.22081079,91.64594317,624.4553012,8,461.7885958
85.71499231,1,153.9602671,108.1419316,492.6746894,5,819.2386208
75.32484102,1,184.9901028,108.8515018,206.461916,5,932.3365799
58.43994367,1,277.2057406,116.2476147,371.1852406,7,1106.099283
70.36883779,0,279.9591859,102.9789387,412.5544759,7,785.9847979
87.66249819,1,282.7138345,97.23178847,522.1010126,6,1049.244861
77.14188136,0,286.1603009,89.06295655,650.7771585,5,436.2701603
71.57169468,0,91.82662769,101.3922892,494.6965001,5,372.0940744
80.45820264,0,233.576873,86.07963495,553.9258831,6,520.6965281
78.76662887,1,239.5493493,101.5337118,429.3473673,3,698.1650381
79.89172143,1,97.39921074,105.6973721,422.0717188,3,697.6189915
66.01587257,1,141.1534023,101.7122819,562.5556047,3,704.3050095
52.62780952,1,130.9861026,110.2689401,431.0601007,8,911.684331
70.55323293,1,159.0671078,101.8015529,404.4137674,4,853.1403926
86.50549861,1,255.3840696,108.4825028,477.7411694,4,876.0838457
83.85146795,1,133.7262896,97.1960899,547.8295912,6,877.4255502
53.63000333,1,298.4691532,100.007328,489.8564299,9,1069.625885
63.08707326,0,274.074486,106.1924973,751.675115,1,159.9867195
71.00686964,0,202.5612319,98.79719383,342.4865444,5,628.7998969
52.60158386,1,98.17501712,107.1022253,465.1445734,3,643.7786218
51.5940525,0,92.92474657,83.041805,698.0583491,4,223.3199901
60.16092031,0,213.6730294,115.3546925,313.6295969,3,490.3842051
94.65418546,1,291.4472096,106.6671219,647.8342501,6,862.4512095
98.70156592,0,271.8480184,86.97470034,544.4749699,10,788.5548241
57.53625361,1,99.38791515,96.12336805,507.6260144,2,546.06699
83.11801263,1,119.809395,79.84954596,560.0260051,5,834.4824621
65.17202794,1,71.24308514,89.53102632,237.3689456,5,814.8792804
64.61991823,0,292.3028531,106.146616,471.3649607,3,578.4302212
94.20285361,1,172.3939739,103.9540042,513.8235552,4,700.9359623
80.05175678,1,251.408248,88.08053018,483.4064076,9,995.0580062
80.05176106,1,98.22065184,98.87831159,472.8878003,7,939.664921
59.58772037,1,88.44053388,106.251944,464.8921973,2,614.3617306
56.7565262,1,97.65195286,115.5801686,380.7969015,4,741.7263105
81.2885669,0,151.3717556,92.9329625,370.8678813,6,613.0022532
90.17660538,1,75.87380365,118.0462759,546.5674724,3,637.7100675
99.60873572,1,190.3565412,106.2761197,588.3915623,8,965.243359
50.07972853,0,50.755909,119.1912012,339.1399519,5,534.1231383
86.97678653,1,274.1090114,102.4341161,618.3022923,3,674.3213706
80.43169299,0,66.73564858,87.0143542,623.0972391,4,296.1416242
74.3073796,0,177.7376065,96.52189522,450.4718237,4,493.1228034
75.52525787,1,199.4018332,102.4791856,569.2695078,7,879.43106
80.86624139,0,210.2375316,80.97782879,501.6528915,5,511.5316983
72.60691404,0,166.4143983,102.4187161,425.8188995,6,674.44354
93.36597963,1,187.3981612,98.21651917,447.3348767,5,829.6611168
81.54159042,0,69.11687443,87.1009876,412.8688249,5,437.4418047
76.67139698,1,183.1338172,107.9546438,495.1164945,6,808.0536475
73.59823786,1,241.231362,103.6083226,444.1761381,5,827.5049679
64.1774722,1,246.7629902,102.0064815,621.5852599,4,747.0311714
99.45442186,0,260.0565212,90.60853106,528.1602415,4,465.3773973
70.78726956,1,109.9060315,105.885799,344.2490717,1,640.1355925
67.91953799,0,151.1123459,100.9841008,420.7415502,4,495.2424409
77.00239818,1,171.1812012,111.7135829,589.0983379,4,788.5645638
67.14533131,1,63.9599346,101.3970812,410.7191125,7,867.5754856
82.284384,1,86.44783941,101.2865184,653.8120245,5,612.7196453
53.00313849,1,270.1735094,91.90278303,658.6340635,2,569.8578014
97.1083241,0,171.7134519,104.2341709,576.9897155,5,503.9982423
86.22307577,1,165.1193821,111.500979,540.6378691,4,697.2740449
58.30181734,0,257.0966497,94.5970722,406.0663868,7,682.134289
61.53242616,0,242.3307016,94.83800876,448.224514,5,527.8642689
70.48737287,1,256.0923964,98.00931034,420.9196103,2,821.0066219
75.27677865,1,207.2827231,93.25015241,413.9848944,5,888.8809485
52.34031774,0,245.5047705,90.62543832,467.2258,4,477.7311379
65.44053592,1,71.36111877,117.1389106,498.2477588,7,753.6848488
92.65792411,1,52.6440789,98.89664929,549.3688093,3,589.4122396
84.63917169,1,169.3158737,90.0390478,509.2983643,1,592.9157009
85.78167319,1,153.6846644,98.78958981,536.6278836,1,594.4388328
65.29827953,1,103.9603147,79.2238304,646.2023505,7,727.4292449
75.70775671,1,120.7578311,81.30241814,589.5949341,5,716.9893928
50.53310957,0,142.4104939,101.6037363,481.8856599,4,340.6528369
80.95667821,0,277.4805405,116.9537232,495.364765,7,759.162509
80.06414496,1,260.8368283,105.7729268,489.0790494,3,875.2423499
98.80953757,1,257.2736293,107.3244914,413.0210762,7,1092.59141
74.82199737,0,241.7667761,92.22859934,530.7932965,2,418.5591612
91.91747479,1,76.5893374,94.46828473,406.1349244,3,715.2651236
65.23114133,1,81.75199844,90.05092186,496.8048499,7,761.3325337
61.90075707,0,148.5305839,106.7445873,492.733604,7,545.5615694
89.49992334,1,173.5610803,94.04025298,596.5255347,6,892.2782702
60.41121055,1,281.2499878,103.0624186,596.4532646,2,689.7742909
65.5607094,1,104.2867259,98.41052943,514.6974504,8,897.7586174
57.54825038,1,188.2821455,104.6888383,494.2118701,5,805.0316924
54.08965379,1,105.0730373,94.94800747,415.7618672,3,649.5314166
60.20610195,1,91.59976485,101.2511703,455.360827,5,744.7669329
56.84501358,1,106.4843023,112.8759816,550.3833702,4,728.8061328
99.13449219,1,240.4151074,93.27528648,499.7102067,12,1239.454383
50.41003756,1,79.55634148,78.67887759,709.7003649,5,552.585339
71.14712249,1,177.2098105,104.1866139,529.6419241,14,1173.924748
62.935954,1,50.45042363,99.10288086,479.2673216,3,548.6002335
56.97525969,1,242.5713697,94.95024121,491.2024366,4,859.8095461
61.38797508,0,106.1686939,91.76323447,378.1241345,12,762.479033
99.88529962,0,66.37459651,92.34343852,493.139092,2,322.4576598
97.44108493,0,135.8283364,108.7049661,371.5077878,10,841.6051041
90.76572577,1,109.4580321,100.7024011,561.5431767,4,827.3983485
54.17573549,0,55.93208919,106.6372523,491.653043,8,419.643324
69.81156552,1,276.4781503,75.89213347,401.2024111,8,1060.856003
96.54437898,1,124.3360615,115.3785012,218.6078325,7,1015.83504
84.78675141,1,57.90447371,96.26987063,545.2182903,3,615.3238878
80.83092218,1,108.4157334,111.6533796,490.8228849,6,828.7858505
65.28476897,1,264.3335305,101.9723123,468.7499929,10,1176.213164
66.4751808,0,288.7270233,101.0007826,618.3344721,3,396.0406323
76.01126923,1,211.9016468,104.4245976,232.8214471,5,980.0386656
96.00402725,0,58.30668806,107.7386021,344.7858985,5,540.272755
79.59389268,1,273.7532588,99.48367981,470.3833604,4,848.3953636
56.3743554,1,291.0002577,104.4946431,379.951909,8,1011.217126
62.86020547,1,160.9027589,87.53653447,537.6663864,5,678.4662637
95.88395895,0,159.5081786,77.17113844,633.4211883,4,323.1569323
75.24293643,1,189.9280525,86.9740698,641.774633,6,669.6173765
77.44379887,1,164.5140898,82.97710084,555.1412326,1,559.3790979
56.14290067,0,57.77008325,73.43056994,460.0756436,5,292.7067401
86.86455709,1,263.0892724,93.15906029,462.9413658,7,961.3237662
51.97450049,1,191.748373,98.8939387,451.2401115,2,715.3090078
79.56511751,0,235.1876856,94.28335973,599.5314019,4,450.1257419
61.62747986,0,115.3374299,88.08618419,339.6820068,5,421.3684758
92.81462656,1,212.0570628,88.96339618,528.108932,2,728.4032361
83.57281872,1,55.61195065,101.9185214,417.3391429,1,674.3564864
57.97111963,1,222.7171585,95.27120314,510.8471839,4,686.102401
66.76517049,1,230.8429407,110.8689965,485.5511871,5,912.7273361
52.97362131,1,181.566536,121.3412821,466.6989131,6,798.0801695
97.5544619,1,153.2445247,97.28754795,525.9778044,2,672.1498138
81.97313872,1,263.8174359,112.0310137,543.8635645,4,823.0789438
88.04709436,0,74.94049902,95.68262773,411.5141349,7,621.6581969
98.08030578,1,196.9273766,93.70716635,391.8029751,6,982.1072123
63.71883667,1,152.0837625,89.64236315,271.6231211,2,732.3016716
83.52834043,1,170.4928428,122.4531747,566.0415598,6,895.8374647
81.33183759,1,192.9956374,107.8272489,441.5293556,8,984.3971591
55.43502815,1,230.2620506,94.35467575,399.2413269,3,838.1352471
78.74127225,0,295.5230632,96.13591183,361.6019939,12,953.7993691
50.15034157,1,103.5045996,102.5587493,498.1512411,2,452.0841987
76.61603159,0,85.05741128,105.5196587,531.6920529,6,449.3800653
51.1775217,1,65.92892783,102.1160216,545.2372568,6,699.3306657
74.62640879,1,217.6593902,115.8686689,545.0691171,5,865.7040122
86.49952812,0,290.1361608,90.32989038,331.5501236,7,743.9908567
78.89270026,1,124.6675326,86.96399145,681.3315766,6,711.464977
94.21621132,0,66.06401539,104.4149962,478.6913757,4,338.457307
53.77118988,0,211.6356564,115.7187963,523.9198896,4,462.4926653
89.60154195,1,223.1606087,103.2819848,368.8078656,7,1049.209381
76.22464459,1,256.1076588,97.55872936,377.4383381,4,831.670083
51.3568689,1,141.6223185,97.38127453,473.9223606,9,970.6541282
55.89738415,1,168.5828332,96.89016414,465.9763831,12,1067.139894
72.03957953,1,166.3348373,116.3533099,489.1883016,5,735.3599946
81.46804297,1,149.0649154,96.85657961,235.4515943,4,932.465551
56.75042273,1,212.1659481,97.61010236,577.0695305,7,818.0599348
62.28421142,0,143.5744965,104.5351143,588.9519824,7,477.8866733
73.99812159,1,110.2487137,97.78494084,495.6384175,5,720.3191774
59.37150774,0,126.7856574,84.01318195,462.205705,6,444.5166472
94.21319892,0,107.7235441,92.26100083,547.6642478,3,333.6101041
70.25178066,1,89.44248032,94.52088987,523.3326563,4,681.0503747
80.57798855,1,265.8608916,87.81410507,286.5689271,7,1075.331718
79.70137216,0,255.8307982,89.21596516,563.1873832,4,495.9265862
65.16257889,1,199.7956073,108.2767617,553.2257049,3,668.947479
60.44795951,1,169.8192434,103.3408304,437.0876657,4,682.4544855
99.78565242,1,61.83241172,103.1034613,410.2537458,2,557.914831
87.65643641,1,195.6743954,102.1506263,389.9718538,5,916.0701969
91.8663188,1,155.7185264,108.5813544,380.5022285,6,943.8571993
75.79968297,1,230.0865466,125.718021,357.618846,4,888.210632
63.33218097,0,257.1560842,93.87441818,472.4374794,3,429.9379166
68.93398253,1,54.94470282,96.62495762,400.1764183,4,667.7232647
59.56946791,1,89.3137257,121.7938326,539.6782211,11,1017.646952
58.26785997,0,67.66718857,107.16175,511.3666003,5,419.8275713
95.67918803,1,219.0462978,86.73818086,459.7371394,3,789.5301128
56.70381451,1,142.6363191,99.73259147,648.1078779,3,515.1116564
91.05889024,0,171.2308117,99.47816051,332.5012179,4,633.7687768
